"gender","age","income","overage","underage","phone","price","lines","bill","churn"
1,39,72428,36,0,"and",807.49,3,112.28,"neg"
0,40,38052,18,27,"ios",420.78,3,121.36,"neg"
0,44,55084,50,62,"and",429.73,4,118.75,"pos"
0,27,18966,0,24,"ios",814.3,2,65.75,"neg"
1,55,36687,0,17,"ios",971.42,1,47.13,"pos"
1,78,58405,33,38,"and",367.05,1,58.22,"pos"
0,41,32185,10,27,"and",291.48,5,97.77,"neg"
0,21,80083,38,23,"and",812.66,3,82.87,"neg"
0,72,59319,15,16,"and",379.25,2,80.65,"neg"
0,75,70496,0,20,"and",393.78,2,66.88,"neg"
0,74,267123,0,3,"ios",904.62,2,80.78,"pos"
0,39,139685,0,0,"ios",681.24,2,91.95,"pos"
0,74,184335,24,0,"and",823.2,4,101.02,"pos"
0,35,51181,51,0,"and",660.95,1,88.76,"pos"
1,24,232277,44,38,"ios",508.43,2,75.95,"pos"
0,75,52014,49,30,"and",716.95,3,101.4,"neg"
0,59,53978,59,9,"ios",1015.32,2,95.06,"pos"
1,61,16736,33,42,"and",822.85,4,94.62,"neg"
0,71,27588,48,2,"and",811.07,2,66.72,"neg"
0,38,69374,21,12,"and",343.81,3,116.15,"neg"
1,35,69285,1,0,"and",203.6,3,104.09,"neg"
1,34,39236,10,2,"and",516.7,1,64,"neg"
0,48,28798,7,30,"and",278.13,3,70.78,"neg"
0,36,53796,59,46,"and",218.28,2,76.57,"pos"
0,27,27242,9,2,"ios",1003.95,4,116.35,"neg"
0,42,27764,58,24,"and",408.79,4,134.66,"neg"
0,74,50678,46,18,"ios",947.71,2,90.41,"pos"
0,74,117566,21,14,"and",131.19,5,155.36,"neg"
0,69,127388,21,30,"ios",927.91,3,120.27,"neg"
0,39,32863,10,17,"ios",609.64,2,79.35,"neg"
0,33,262962,37,5,"and",385.76,3,98.47,"pos"
0,48,20352,13,1,"and",700.65,3,90.03,"neg"
0,34,93046,25,9,"and",372.05,2,88.65,"pos"
0,64,76231,23,12,"ios",1085.57,4,111.51,"pos"
0,20,205893,26,37,"and",438.97,2,101.93,"pos"
1,27,19027,0,6,"and",134.44,2,97,"neg"
0,65,21871,27,48,"and",748.42,3,96.57,"neg"
0,45,20813,39,36,"and",440.89,1,59.22,"pos"
0,65,81551,23,22,"and",597.19,2,86.97,"pos"
1,76,53013,0,11,"and",824.52,3,76.68,"neg"
1,63,280011,8,16,"win",348.29,2,73.19,"pos"
0,72,41290,72,19,"ios",671.5,3,125.71,"pos"
0,23,40817,25,0,"ios",560.83,1,61.14,"neg"
0,73,37369,16,21,"and",290.31,2,57.75,"neg"
1,68,45750,0,33,"and",684.81,5,154.99,"neg"
0,29,25253,17,13,"and",635.72,2,82.75,"neg"
0,73,30243,24,2,"ios",360.89,2,83.5,"pos"
1,25,304672,37,0,"ios",782.9,2,64.07,"pos"
1,45,117553,51,4,"and",655.93,4,145.02,"pos"
1,21,73749,0,0,"and",217.14,3,73.85,"neg"
0,26,80429,36,34,"and",216.67,4,144.51,"neg"
1,60,295579,33,6,"ios",845.76,4,133.52,"pos"
1,42,69654,0,32,"and",381.4,3,94.03,"neg"
0,51,27668,6,0,"ios",887.89,1,63.62,"pos"
0,27,52447,60,41,"and",280.76,4,166.68,"pos"
1,47,246357,10,13,"win",316.94,2,89.98,"pos"
1,24,24488,10,38,"and",722.73,3,71.2,"neg"
1,41,35736,46,21,"ios",726.72,3,116.82,"pos"
0,49,99809,43,17,"and",841,1,80.57,"pos"
1,74,231581,49,4,"and",586.61,2,101.56,"pos"
0,49,48342,25,32,"and",624.97,2,102.26,"neg"
0,67,23086,42,9,"and",484.17,3,76.9,"neg"
0,35,222700,77,28,"and",774.6,5,120.49,"pos"
1,72,33639,7,19,"win",376.44,3,113.63,"neg"
0,24,127269,0,26,"ios",508.7,5,171.7,"neg"
1,45,46600,21,26,"win",323.37,1,66.91,"neg"
0,23,55107,26,17,"and",120.82,3,124.6,"neg"
1,64,40284,70,19,"and",284.45,1,77.03,"pos"
1,23,33878,42,36,"and",500.24,1,63.6,"pos"
1,73,334241,30,13,"and",207.24,4,149.92,"pos"
1,30,68068,9,0,"and",146.36,2,72.14,"neg"
1,32,15109,0,14,"and",877.2,1,62.2,"neg"
0,34,35764,12,8,"and",406.67,1,74.69,"pos"
0,20,22631,0,0,"and",207.19,2,56.4,"neg"
1,68,245057,45,0,"and",662.68,5,111.71,"pos"
1,79,77735,41,4,"and",342.57,4,139.52,"pos"
1,48,120542,31,25,"ios",617.85,1,83.88,"pos"
1,22,40691,2,14,"and",533.53,1,73.72,"neg"
0,28,20013,45,16,"and",344.18,2,104.21,"neg"
1,46,95674,9,20,"and",232.45,3,108.95,"pos"
1,22,230983,2,0,"and",331.77,2,92.77,"pos"
0,48,65343,40,18,"ios",859.21,1,76.9,"pos"
0,47,25045,22,33,"and",277.82,4,111.71,"neg"
1,21,156794,27,0,"ios",322.87,1,54.98,"pos"
0,32,133302,10,14,"and",558.12,5,166.94,"pos"
0,75,265869,0,0,"ios",1000.29,1,46.31,"pos"
0,76,92742,0,36,"and",855.11,1,51.6,"pos"
1,29,41565,19,20,"ios",380.73,2,83.71,"pos"
0,44,76851,0,23,"and",866.62,3,96.06,"neg"
1,27,92512,50,0,"and",623.84,2,97.85,"pos"
1,47,103987,11,20,"and",452.03,4,145.1,"neg"
1,51,28678,29,14,"and",668.8,1,60.07,"neg"
0,72,30626,3,11,"and",672.26,1,76.4,"neg"
1,53,100443,42,3,"and",270.49,5,153.62,"neg"
0,25,105509,0,38,"and",245.15,4,95.71,"pos"
0,20,256749,32,7,"ios",483.3,5,104.15,"pos"
1,56,119838,7,27,"ios",686.57,5,130.26,"pos"
0,74,127653,71,2,"ios",1060.12,5,190.91,"neg"
1,34,58403,27,34,"and",534.99,1,55.37,"pos"
0,40,52454,50,14,"ios",346,2,82.6,"pos"
0,64,74349,15,1,"and",130.08,4,127.25,"neg"
0,46,154019,0,0,"ios",369.26,4,134.9,"pos"
1,23,75068,25,20,"and",775.95,4,117.18,"pos"
1,26,53251,31,4,"and",325.44,2,87.39,"neg"
1,26,68821,37,27,"and",662.61,2,84.61,"pos"
1,45,59611,21,21,"and",226.17,1,67.97,"pos"
0,40,58289,28,4,"and",827.31,2,100.53,"pos"
0,52,97927,3,49,"and",473.14,2,69.89,"pos"
1,47,108855,29,0,"and",213.87,2,107.68,"pos"
1,73,122040,7,11,"and",349.67,4,78.51,"neg"
0,42,104038,24,20,"and",426.21,4,127.21,"neg"
1,30,33487,36,40,"and",264.57,1,55.42,"pos"
0,47,29310,10,15,"and",414.46,3,110.38,"neg"
0,70,73849,20,6,"and",867.52,2,93.55,"neg"
1,25,36046,47,0,"and",428.44,3,91.41,"pos"
1,32,131587,45,5,"and",465.05,4,114.66,"neg"
0,32,26354,16,24,"and",819.88,2,90.02,"neg"
1,60,15143,19,19,"and",452.19,2,92.34,"neg"
0,70,22534,15,28,"and",785.75,1,57.26,"pos"
1,50,77665,60,0,"and",882.89,2,92.46,"pos"
0,49,30998,12,18,"and",810.25,2,101.74,"neg"
0,20,68705,7,3,"ios",407.8,1,58.54,"pos"
1,78,78366,48,10,"and",267.08,4,119.1,"neg"
0,62,27829,0,12,"and",784.21,2,77.71,"neg"
1,58,70544,13,10,"and",861.63,2,75.16,"neg"
0,24,93348,22,12,"and",830.24,1,77.58,"pos"
1,40,133158,6,3,"ios",717.17,2,84.65,"pos"
0,45,47133,59,26,"and",105.38,4,166.66,"pos"
0,41,25723,0,25,"ios",872.77,1,78.68,"neg"
1,26,144572,57,0,"ios",451.64,4,150.05,"pos"
0,40,81721,0,28,"and",669.18,4,118.21,"neg"
0,70,23042,29,23,"other",187.05,1,60.58,"neg"
0,72,136210,0,11,"and",875.5,4,116.49,"neg"
1,21,47501,1,0,"and",578.41,3,94.61,"neg"
0,76,147677,15,19,"and",720.7,3,84.69,"pos"
0,24,20760,36,12,"and",383.89,2,83.6,"neg"
1,72,43983,5,23,"and",102.66,3,100.97,"neg"
1,69,63772,11,15,"and",840.01,1,68.85,"pos"
1,20,16623,46,31,"and",293.03,4,93.09,"neg"
1,73,76172,43,2,"and",632.77,1,82.35,"neg"
0,23,21533,29,17,"ios",814.04,3,131.25,"neg"
1,39,35797,12,15,"and",295.02,2,108.08,"neg"
1,45,68864,67,27,"and",460.15,2,100.97,"pos"
0,58,105973,21,0,"ios",827.99,4,132.62,"neg"
1,65,71718,19,10,"win",338.95,1,65.82,"pos"
0,35,199907,6,7,"and",598.94,4,112.28,"neg"
